,DN,nome,ano,area,classificação
489,21,Xingú,2008,2488340.0,Antrópico
490,21,Xingú,2021,5341929.0,Antrópico
491,23,Doce,2008,384584.0,Não-Antrópico
492,23,Doce,2021,111319.0,Não-Antrópico
493,23,Itabapoana,2008,126820.0,Não-Antrópico
494,23,Itabapoana,2021,61741.0,Não-Antrópico
495,23,Jequitinhonha,2008,1722.0,Não-Antrópico
496,23,Jequitinhonha,2021,861.0,Não-Antrópico
497,23,Mucuri,2008,25526.0,Não-Antrópico
498,23,Mucuri,2021,5105.0,Não-Antrópico
499,23,Paraguaçu,2008,25295.0,Não-Antrópico
500,23,Paraguaçu,2021,11337.0,Não-Antrópico
501,23,Paraíba do Sul,2008,104077.0,Não-Antrópico
502,23,Paraíba do Sul,2021,88222.0,Não-Antrópico
503,23,Parnaíba,2008,3654943.0,Não-Antrópico
504,23,Parnaíba,2021,1318003.0,Não-Antrópico
505,23,São Francisco,2008,362929.0,Não-Antrópico
506,23,São Francisco,2021,344489.0,Não-Antrópico
507,23,Tietê,2008,1722.0,Não-Antrópico
508,23,Tietê,2021,821.0,Não-Antrópico
509,23,Tocantins,2021,9670.0,Não-Antrópico
510,23,Uruguai,2008,16370.0,Não-Antrópico
511,23,Uruguai,2021,16370.0,Não-Antrópico
512,24,Antas,2008,189669.0,Antrópico
513,24,Antas,2021,242215.0,Antrópico
514,24,Araguari,2008,8939.0,Antrópico
515,24,Araguari,2021,14303.0,Antrópico
